Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000229,2012-07-29,2016-09-29,65417 points,Steven Spielberg,Schindler's List,1946-12-18
2,nm0634240,2012-08-11,2016-04-24,54135 points,Christopher Nolan,Tenet,1970-07-30
3,nm0000217,2012-07-29,2014-02-28,38209 points,Martin Scorsese,Taxi Driver,1942-11-17
4,nm0000233,2012-08-05,2016-01-21,36893 points,Quentin Tarantino,Reservoir Dogs,1963-03-27
5,nm0000399,2012-08-06,2015-02-28,34425 points,David Fincher,Se7en,1962-08-28
6,nm0000040,2012-07-27,2012-08-11,28290 points,Stanley Kubrick,2001: A Space Odyssey,1928-07-26
7,nm0000709,2012-08-04,2016-07-19,27236 points,Robert Zemeckis,Back to the Future,1952-05-14
8,nm0000142,2012-08-03,2017-07-15,26647 points,Clint Eastwood,Million Dollar Baby,1930-05-31
9,nm0000631,2012-08-11,2016-01-02,25778 points,Ridley Scott,The Martian,1937-11-30
10,nm0000338,2012-07-29,2017-01-15,24184 points,Francis Ford Coppola,Apocalypse Now,1939-04-07
11,nm0001054,2012-08-06,2017-01-15,23710 points,Joel Coen,The Ballad of Buster Scruggs,1954-11-29
12,nm0000116,2014-08-29,2015-04-08,21103 points,James Cameron,Avatar,1954-08-16
13,nm0000033,2012-07-26,2016-01-17,20849 points,Alfred Hitchcock,Psycho,1899-08-13
14,nm0001104,2012-08-05,2012-08-11,20079 points,Frank Darabont,The Shawshank Redemption,1959-01-28
15,nm0000318,2012-08-06,2015-10-25,16623 points,Tim Burton,Edward Scissorhands,1958-08-25
16,nm0005222,2012-08-11,2012-12-24,15812 points,Sam Mendes,1917,1965-08-01
17,nm0000095,2012-07-29,2017-02-24,15604 points,Woody Allen,Manhattan,1935-11-30
18,nm0001752,2012-08-11,2015-12-06,15493 points,Steven Soderbergh,"Sex, Lies, and Videotape",1963-01-14
19,nm0001716,2013-01-11,2017-10-10,14932 points,Tony Scott,Domino,1944-06-21
20,nm0004716,2012-08-11,2012-12-22,13943 points,Darren Aronofsky,Pi,1969-02-12
21,nm0000965,2012-08-18,2016-03-19,13928 points,Danny Boyle,127 Hours,1956-10-20
22,nm0000165,2012-08-06,2017-07-10,13817 points,Ron Howard,Arrested Development,1954-03-01
23,nm0449984,2016-09-30,2017-07-04,13643 points,Irvin Kershner,The Empire Strikes Back,1923-04-29
24,nm0000591,2012-07-28,2014-01-04,12689 points,Roman Polanski,Chinatown,1933-08-18
25,nm0000154,2012-08-06,2017-06-01,12663 points,Mel Gibson,Braveheart,1956-01-03
26,nm0327944,2012-08-11,2016-02-04,12188 points,Alejandro G. Iñárritu,Biutiful,1963-08-15
27,nm0005363,2013-05-30,2014-10-18,11708 points,Guy Ritchie,Sherlock Holmes,1968-09-10
28,nm0905152,2012-12-08,2015-09-11,10683 points,Lilly Wachowski,The Matrix,1967-12-29
29,nm0905154,2012-12-08,2015-09-11,10683 points,Lana Wachowski,The Matrix,1965-06-21
30,nm0001232,2012-08-03,2013-12-21,10597 points,Milos Forman,One Flew Over the Cuckoo's Nest,1932-02-18
31,nm0001466,2012-07-28,2012-08-04,10270 points,Sergio Leone,Once Upon a Time in America,1929-01-03
32,nm0001053,2012-08-18,2017-01-15,10170 points,Ethan Coen,The Ballad of Buster Scruggs,1957-09-21
33,nm0001060,2012-08-05,2014-11-10,10034 points,Chris Columbus,Harry Potter and the Sorcerer's Stone,1958-09-10
34,nm0000108,2012-08-05,2016-07-12,9781 points,Luc Besson,The Fifth Element,1959-03-18
35,nm0000520,2012-08-06,2017-05-01,9687 points,Michael Mann,The Insider,1943-02-05
